Species,Venom concentration [ug/ul],#killed 1hr,#killed4hr,# Treated
M_antarcticum,0,0,1,13
M_antarcticum,0,0,4,24
M_antarcticum,0,0,0,17
M_antarcticum,0,0,0,16
M_antarcticum,0,0,0,28
M_antarcticum,0,0,1,18
M_antarcticum,1,7,11,48
M_antarcticum,1,0,0,17
M_antarcticum,5,15,17,31
M_antarcticum,5,7,7,22
M_antarcticum,5,5,6,24
M_antarcticum,5,1,4,21
M_antarcticum,10,11,16,41
M_antarcticum,10,3,8,16
M_antarcticum,10,4,7,22
M_antarcticum,10,7,7,23
M_antarcticum,10,23,23,45
M_antarcticum,10,8,12,22
M_antarcticum,15,33,39,40
M_antarcticum,15,5,2,15
M_antarcticum,15,18,30,35
M_antarcticum,15,3,11,22
M_antarcticum,15,10,16,24
M_antarcticum,20,32,36,38
M_antarcticum,20,49,49,49
M_antarcticum,20,9,18,24
M_smithii,0,3,13,64
M_smithii,0,3,3,31
M_smithii,0,0,0,23
M_smithii,1,2,3,73
M_smithii,1,0,1,22
M_smithii,1,0,0,2
M_smithii,5,17,23,70
M_smithii,5,8,9,127
M_smithii,5,0,1,23
M_smithii,10,9,17,43
M_smithii,10,7,12,21
M_smithii,10,19,20,51
M_smithii,15,19,28,54
M_smithii,15,86,86,86
M_smithii,20,44,44,44
M_antipodum,0,1,4,20
M_antipodum,0,2,14,21
M_antipodum,0,1,1,12
M_antipodum,0,0,0,13
M_antipodum,0,4,6,18
M_antipodum,1,5,22,36
M_antipodum,1,1,1,18
M_antipodum,1,2,4,26
M_antipodum,1,1,7,13
M_antipodum,1,4,9,20
M_antipodum,1,6,8,20
M_antipodum,5,0,11,19
M_antipodum,5,10,21,35
M_antipodum,5,7,10,29
M_antipodum,5,1,1,16
M_antipodum,5,6,8,24
M_antipodum,5,11,15,26
M_antipodum,10,18,22,26
M_antipodum,10,17,19,27
M_antipodum,10,15,23,27
M_antipodum,10,18,19,20
M_antipodum,10,16,16,20
M_antipodum,15,8,17,18
M_antipodum,15,10,21,24
M_antipodum,15,6,14,22
M_antipodum,15,0,1,16
M_antipodum,15,3,11,22
M_antipodum,15,15,17,23
M_antipodum,15,14,16,22
M_antipodum,20,19,20,27
M_antipodum,20,10,13,19
M_antipodum,20,10,14,16
M_antipodum,20,12,17,18
M_antipodum,20,9,18,24
M_antipodum,20,21,23,23
M_antipodum,20,20,20,21
M_sydneyense,0,2,3,23
M_sydneyense,0,0,2,27
M_sydneyense,0,1,1,20
M_sydneyense,0,0,1,19
M_sydneyense,1,5,14,31
M_sydneyense,1,4,9,18
M_sydneyense,1,6,15,31
M_sydneyense,1,4,9,20
M_sydneyense,1,6,8,20
M_sydneyense,5,4,9,24
M_sydneyense,5,5,18,34
M_sydneyense,5,2,6,22
M_sydneyense,5,6,8,24
M_sydneyense,5,11,15,26
M_sydneyense,10,7,16,32
M_sydneyense,10,5,8,27
M_sydneyense,10,4,11,21
M_sydneyense,10,18,19,20
M_sydneyense,10,16,16,20
M_sydneyense,15,17,24,30
M_sydneyense,15,4,12,22
M_sydneyense,15,3,9,28
M_sydneyense,15,15,17,23
M_sydneyense,15,14,16,22
M_sydneyense,20,17,20,23
M_sydneyense,20,18,21,21
M_sydneyense,20,14,17,20
M_sydneyense,20,23,25,27
M_sydneyense,20,21,23,23
M_sydneyense,20,20,20,21
